projid_geoid	project_id	proj_cnt	sector_value	year1	year2	year3	commit	comm_p_loc	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	location_type_name	geoname_adm_code	geonames_adm_name	geonames_retrieval_time
87292861561_1943320	87292861561	155	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2011	2013		3150792	20327.6903225806	1943320	1	Locohu	-8.67306	126.62917	PPL	populated place	TL|00	East Timor	2014-01-01T00:00:00+0000
87292481496_1945596	87292481496	49	"[{""sector"":""110 - EDUCATION"",""subsector"":""112 - Basic education"",""subsubsector"":""""}]"	2011			711330	14516.9387755102	1945596	1	Debos	-9.31444	125.25167	PPL	populated place	TL|00	East Timor	1999-11-03T00:00:00+0000
87292481496_8629099	87292481496	49	"[{""sector"":""110 - EDUCATION"",""subsector"":""112 - Basic education"",""subsubsector"":""""}]"	2011			711330	14516.9387755102	8629099	1	Vatuboro	-8.68896	125.11711	PPL	populated place	TL	East Timor	2013-10-16T00:00:00+0000
87292441820_1942885	87292441820	138	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2012			727103	5268.8623188406	1942885	1	Abafala	-8.55361	126.56528	PPL	populated place	TL|00	East Timor	1999-09-20T00:00:00+0000
87292441820_8629251	87292441820	138	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2012			727103	5268.8623188406	8629251	1	Abat-oan	-8.97185	126.05766	PPL	populated place	TL	East Timor	2013-10-21T00:00:00+0000
87292441820_8629000	87292441820	138	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2012			727103	5268.8623188406	8629000	1	Acumao	-8.6124	125.6604	PPL	populated place	TL	East Timor	2013-10-14T00:00:00+0000
87292401681_8629861	87292401681	6	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2011			105778.82	17629.8033333333	8629861	1	Aelebere	-8.71306	126.82278	PPL	populated place	TL	East Timor	2013-11-05T00:00:00+0000
87292191274_1943333	87292191274	209	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			8000000	38277.5119617225	1943333	2	Afaloicai	-8.68778	126.67167	PPL	populated place	TL|00	East Timor	1999-09-22T00:00:00+0000
87292861561_1943333	87292861561	155	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2011	2013		3150792	20327.6903225806	1943333	1	Afaloicai	-8.68778	126.67167	PPL	populated place	TL|00	East Timor	1999-09-22T00:00:00+0000
87292191274_1945255	87292191274	209	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			8000000	38277.5119617225	1945255	1	Aiaras	-9.0025	125.35194	PPL	populated place	TL|BO	East Timor|Bobonaro	2012-07-05T00:00:00+0000
87292481496_1945203	87292481496	49	"[{""sector"":""110 - EDUCATION"",""subsector"":""112 - Basic education"",""subsubsector"":""""}]"	2011			711330	14516.9387755102	1945203	1	Aiasa	-9.04375	125.31253	PPL	populated place	TL|BO	East Timor|Bobonaro	2012-07-05T00:00:00+0000
87292191274_8643265	87292191274	209	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			8000000	38277.5119617225	8643265	1	Ai-Assa	-9.04056	125.31735	PPL	populated place	TL	East Timor	2013-11-21T00:00:00+0000
87292441820_1943878	87292441820	138	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2012			727103	5268.8623188406	1943878	1	Aidabaleten	-8.82778	125.14167	PPL	populated place	TL|00	East Timor	1999-12-09T00:00:00+0000
87292191274_1943692	87292191274	209	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			8000000	38277.5119617225	1943692	1	Aidabasalala	-8.87278	125.18	PPL	populated place	TL|00	East Timor	1999-12-09T00:00:00+0000
87292191274_8643544	87292191274	209	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			8000000	38277.5119617225	8643544	1	Aifro	-8.94496	125.39078	PPL	populated place	TL	East Timor	2013-12-02T00:00:00+0000
87292191274_1944706	87292191274	209	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			8000000	38277.5119617225	1944706	1	Airae	-8.97389	125.38472	PPL	populated place	TL|00	East Timor	1999-11-29T00:00:00+0000
87292861561_1943314	87292861561	155	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2011	2013		3150792	20327.6903225806	1943314	1	Aiteas	-8.51056	126.01583	PPL	populated place	TL|00	East Timor	1999-11-27T00:00:00+0000
87292191274_1944654	87292191274	209	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			8000000	38277.5119617225	1944654	1	Aitura	-8.79944	125.4025	PPL	populated place	TL|00	East Timor	1999-10-21T00:00:00+0000
87292861561_1944891	87292861561	155	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2011	2013		3150792	20327.6903225806	1944891	1	Aituto	-8.90028	125.59278	PPL	populated place	TL|00	East Timor	1999-11-16T00:00:00+0000
87292441820_1942674	87292441820	138	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2012			727103	5268.8623188406	1942674	1	Akanunu	-8.55639	125.64806	PPL	populated place	TL|00	East Timor	1999-11-29T00:00:00+0000
87292441820_1946152	87292441820	138	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2012			727103	5268.8623188406	1946152	1	Alaua	-8.62472	126.6775	PPL	populated place	TL|00	East Timor	2006-01-18T00:00:00+0000
87292441820_8629015	87292441820	138	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2012			727103	5268.8623188406	8629015	1	Alawa Leten	-8.61667	126.65	PPL	populated place	TL	East Timor	2013-10-14T00:00:00+0000
87292191274_1945577	87292191274	209	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			8000000	38277.5119617225	1945577	1	Ames	-9.15917	125.27972	PPL	populated place	TL|BO	East Timor|Bobonaro	2012-07-05T00:00:00+0000
